Date,Description,Credit,Debit,Type
01/07/2025,SALARY CREDIT - TECHVISTA,80700.0,,credit
02/07/2025,RENT PAYMENT - JUNE,,25000.0,debit
03/07/2025,SWIGGY ORDER #4521,,450.0,debit
04/07/2025,UBER TRIP - OFFICE,,320.0,debit
05/07/2025,AMAZON PURCHASE - HEADPHONES,,2999.0,debit
06/07/2025,ELECTRICITY BILL - BESCOM,,1850.0,debit
07/07/2025,NETFLIX SUBSCRIPTION,,649.0,debit
08/07/2025,ZOMATO ORDER #8812,,380.0,debit
09/07/2025,HDFC MUTUAL FUND SIP,,5000.0,debit
10/07/2025,PETROL - HP PUMP,,2500.0,debit
11/07/2025,GROCERY - BIGBASKET,,3200.0,debit
12/07/2025,FLIPKART - SHOES,,4500.0,debit
13/07/2025,HOSPITAL VISIT - APOLLO,,1200.0,debit
14/07/2025,EMI - CAR LOAN HDFC,,12000.0,debit
15/07/2025,BROADBAND - AIRTEL,,999.0,debit
16/07/2025,SWIGGY ORDER #4590,,520.0,debit
17/07/2025,UBER TRIP - AIRPORT,,890.0,debit
18/07/2025,MYNTRA - CLOTHES,,3200.0,debit
19/07/2025,SPOTIFY PREMIUM,,119.0,debit
20/07/2025,TRANSFER TO SAVINGS,,10000.0,debit
21/07/2025,RESTAURANT - DINNER,,1800.0,debit
22/07/2025,UDEMY COURSE - REACT,,499.0,debit
23/07/2025,PVR CINEMA - TICKETS,,600.0,debit
24/07/2025,OLA RIDE - MALL,,280.0,debit
25/07/2025,MEDICAL STORE - APOLLO,,450.0,debit
